date,lottery,number,animal,time
2021-01-18,lagranjita,8,raton,02:00 PM
2021-01-18,lagranjita,31,lapa,03:00 PM
2021-01-18,lagranjita,24,iguana,04:00 PM
2021-01-18,lagranjita,29,elefante,05:00 PM
2021-01-18,lagranjita,22,camello,06:00 PM
2021-01-18,lagranjita,11,gato,07:00 PM
2021-01-19,lagranjita,30,caiman,09:00 AM
2021-01-19,lagranjita,27,perro,10:00 AM
2021-01-19,lagranjita,28,zamuro,11:00 AM
2021-01-19,lagranjita,15,zorro,12:00 PM
2021-01-19,lagranjita,0,delfin,01:00 PM
2021-01-19,lagranjita,26,vaca,02:00 PM
2021-01-19,lagranjita,34,venado,03:00 PM
2021-01-19,lagranjita,10,tigre,04:00 PM
2021-01-19,lagranjita,24,iguana,05:00 PM
2021-01-19,lagranjita,35,jirafa,06:00 PM
2021-01-19,lagranjita,33,pescado,07:00 PM
2021-01-20,lagranjita,24,iguana,09:00 AM
2021-01-20,lagranjita,36,culebra,10:00 AM
2021-01-20,lagranjita,27,perro,11:00 AM
2021-01-20,lagranjita,4,alacran,12:00 PM
2021-01-20,lagranjita,19,chivo,01:00 PM
2021-01-20,lagranjita,21,gallo,02:00 PM
2021-01-20,lagranjita,8,raton,03:00 PM
2021-01-20,lagranjita,12,caballo,04:00 PM
2021-01-20,lagranjita,31,lapa,05:00 PM
2021-01-20,lagranjita,3,ciempies,06:00 PM
2021-01-20,lagranjita,9,aguila,07:00 PM
2021-01-21,lagranjita,19,chivo,09:00 AM
2021-01-21,lagranjita,30,caiman,10:00 AM
2021-01-21,lagranjita,11,gato,11:00 AM
2021-01-21,lagranjita,13,mono,12:00 PM
2021-01-21,lagranjita,5,leon,01:00 PM
2021-01-21,lagranjita,4,alacran,02:00 PM
2021-01-21,lagranjita,16,oso,03:00 PM
2021-01-21,lagranjita,0,delfin,04:00 PM
2021-01-21,lagranjita,1,carnero,05:00 PM
2021-01-21,lagranjita,21,gallo,06:00 PM
2021-01-21,lagranjita,37,ballena,07:00 PM
2021-01-22,lagranjita,3,ciempies,09:00 AM
2021-01-22,lagranjita,36,culebra,10:00 AM
2021-01-22,lagranjita,27,perro,11:00 AM
2021-01-22,lagranjita,29,elefante,12:00 PM
2021-01-22,lagranjita,15,zorro,01:00 PM
2021-01-22,lagranjita,22,camello,02:00 PM
2021-01-22,lagranjita,1,carnero,03:00 PM
2021-01-22,lagranjita,35,jirafa,04:00 PM
2021-01-22,lagranjita,0,delfin,05:00 PM
2021-01-22,lagranjita,25,gallina,06:00 PM
2021-01-22,lagranjita,33,pescado,07:00 PM
2021-01-23,lagranjita,10,tigre,09:00 AM
2021-01-23,lagranjita,14,paloma,10:00 AM
2021-01-23,lagranjita,7,perico,11:00 AM
2021-01-23,lagranjita,34,venado,12:00 PM
2021-01-23,lagranjita,37,ballena,01:00 PM
2021-01-23,lagranjita,12,caballo,02:00 PM
2021-01-23,lagranjita,30,caiman,03:00 PM
2021-01-23,lagranjita,20,cochino,04:00 PM
2021-01-23,lagranjita,21,gallo,05:00 PM
2021-01-23,lagranjita,28,zamuro,06:00 PM
2021-01-23,lagranjita,2,toro,07:00 PM
2021-01-24,lagranjita,10,tigre,09:00 AM
2021-01-24,lagranjita,13,mono,10:00 AM
2021-01-24,lagranjita,12,caballo,11:00 AM
2021-01-24,lagranjita,19,chivo,12:00 PM
2021-01-24,lagranjita,0,delfin,01:00 PM
2021-01-24,lagranjita,8,raton,02:00 PM
2021-01-24,lagranjita,5,leon,03:00 PM
2021-01-24,lagranjita,22,camello,04:00 PM
2021-01-24,lagranjita,9,aguila,05:00 PM
2021-01-24,lagranjita,14,paloma,06:00 PM
2021-01-24,lagranjita,37,ballena,07:00 PM
2021-01-25,lagranjita,16,oso,09:00 AM
2021-01-25,lagranjita,32,ardilla,10:00 AM
2021-01-25,lagranjita,7,perico,11:00 AM
2021-01-25,lagranjita,36,culebra,12:00 PM
2021-01-25,lagranjita,30,caiman,01:00 PM
2021-01-25,lagranjita,14,paloma,02:00 PM
2021-01-25,lagranjita,21,gallo,03:00 PM
2021-01-25,lagranjita,17,pavo,04:00 PM
2021-01-25,lagranjita,29,elefante,05:00 PM
2021-01-25,lagranjita,21,gallo,06:00 PM
2021-01-25,lagranjita,33,pescado,07:00 PM
2021-01-26,lagranjita,36,culebra,09:00 AM
2021-01-26,lagranjita,24,iguana,10:00 AM
2021-01-26,lagranjita,34,venado,11:00 AM
2021-01-26,lagranjita,28,zamuro,12:00 PM
2021-01-26,lagranjita,22,camello,01:00 PM
2021-01-26,lagranjita,31,lapa,02:00 PM
2021-01-26,lagranjita,0,delfin,03:00 PM
2021-01-26,lagranjita,23,cebra,04:00 PM
2021-01-26,lagranjita,4,alacran,05:00 PM
2021-01-26,lagranjita,8,raton,06:00 PM
2021-01-26,lagranjita,3,ciempies,07:00 PM
2021-01-27,lagranjita,26,vaca,09:00 AM
2021-01-27,lagranjita,24,iguana,10:00 AM
2021-01-27,lagranjita,6,rana,11:00 AM
2021-01-27,lagranjita,29,elefante,12:00 PM
2021-01-27,lagranjita,18,burro,01:00 PM
2021-01-27,lagranjita,3,ciempies,02:00 PM
2021-01-27,lagranjita,11,gato,03:00 PM
2021-01-27,lagranjita,7,perico,04:00 PM
2021-01-27,lagranjita,15,zorro,05:00 PM
2021-01-27,lagranjita,30,caiman,06:00 PM
2021-01-27,lagranjita,10,tigre,07:00 PM
2021-01-28,lagranjita,31,lapa,09:00 AM
2021-01-28,lagranjita,15,zorro,10:00 AM
2021-01-28,lagranjita,21,gallo,11:00 AM
2021-01-28,lagranjita,30,caiman,12:00 PM
2021-01-28,lagranjita,0,delfin,01:00 PM
2021-01-28,lagranjita,14,paloma,02:00 PM
2021-01-28,lagranjita,17,pavo,03:00 PM
2021-01-28,lagranjita,27,perro,04:00 PM
2021-01-28,lagranjita,12,caballo,05:00 PM
2021-01-28,lagranjita,15,zorro,06:00 PM
2021-01-28,lagranjita,32,ardilla,07:00 PM
2021-01-29,lagranjita,9,aguila,09:00 AM
2021-01-29,lagranjita,33,pescado,10:00 AM
2021-01-29,lagranjita,1,carnero,11:00 AM
2021-01-29,lagranjita,7,perico,12:00 PM
2021-01-29,lagranjita,23,cebra,01:00 PM
2021-01-29,lagranjita,16,oso,02:00 PM
2021-01-29,lagranjita,20,cochino,03:00 PM
2021-01-29,lagranjita,22,camello,04:00 PM
2021-01-29,lagranjita,10,tigre,05:00 PM
2021-01-29,lagranjita,24,iguana,06:00 PM
2021-01-29,lagranjita,0,delfin,07:00 PM
2021-01-30,lagranjita,17,pavo,09:00 AM
2021-01-30,lagranjita,2,toro,10:00 AM
2021-01-30,lagranjita,18,burro,11:00 AM
2021-01-30,lagranjita,12,caballo,12:00 PM
2021-01-30,lagranjita,19,chivo,01:00 PM
2021-01-30,lagranjita,8,raton,02:00 PM
2021-01-30,lagranjita,21,gallo,03:00 PM
2021-01-30,lagranjita,1,carnero,04:00 PM
2021-01-30,lagranjita,15,zorro,05:00 PM
2021-01-30,lagranjita,26,vaca,06:00 PM
2021-01-30,lagranjita,37,ballena,07:00 PM
2021-01-31,lagranjita,5,leon,09:00 AM
2021-01-31,lagranjita,22,camello,10:00 AM
2021-01-31,lagranjita,7,perico,11:00 AM
2021-01-31,lagranjita,30,caiman,12:00 PM
2021-01-31,lagranjita,35,jirafa,01:00 PM
2021-01-31,lagranjita,4,alacran,02:00 PM
2021-01-31,lagranjita,13,mono,03:00 PM
2021-01-31,lagranjita,1,carnero,04:00 PM
2021-01-31,lagranjita,30,caiman,05:00 PM
2021-01-31,lagranjita,6,rana,06:00 PM
2021-01-31,lagranjita,19,chivo,07:00 PM
2021-02-01,lagranjita,29,elefante,09:00 AM
2021-02-01,lagranjita,20,cochino,10:00 AM
2021-02-01,lagranjita,9,aguila,11:00 AM
2021-02-01,lagranjita,18,burro,12:00 PM
2021-02-01,lagranjita,15,zorro,01:00 PM
2021-02-01,lagranjita,27,perro,02:00 PM
2021-02-01,lagranjita,21,gallo,03:00 PM
2021-02-01,lagranjita,16,oso,04:00 PM
2021-02-01,lagranjita,14,paloma,05:00 PM
2021-02-01,lagranjita,30,caiman,06:00 PM
2021-02-01,lagranjita,32,ardilla,07:00 PM
2021-02-02,lagranjita,25,gallina,09:00 AM
2021-02-02,lagranjita,34,venado,10:00 AM
2021-02-02,lagranjita,17,pavo,11:00 AM
2021-02-02,lagranjita,33,pescado,12:00 PM
2021-02-02,lagranjita,8,raton,01:00 PM
2021-02-02,lagranjita,2,toro,02:00 PM
2021-02-02,lagranjita,3,ciempies,03:00 PM
2021-02-02,lagranjita,23,cebra,04:00 PM
2021-02-02,lagranjita,28,zamuro,05:00 PM
2021-02-02,lagranjita,13,mono,06:00 PM
2021-02-02,lagranjita,34,venado,07:00 PM
2021-02-03,lagranjita,29,elefante,09:00 AM
2021-02-03,lagranjita,24,iguana,10:00 AM
2021-02-03,lagranjita,32,ardilla,11:00 AM
2021-02-03,lagranjita,33,pescado,12:00 PM
2021-02-03,lagranjita,18,burro,01:00 PM
2021-02-03,lagranjita,7,perico,02:00 PM
2021-02-03,lagranjita,35,jirafa,03:00 PM
2021-02-03,lagranjita,12,caballo,04:00 PM
2021-02-03,lagranjita,25,gallina,05:00 PM
2021-02-03,lagranjita,10,tigre,06:00 PM
2021-02-03,lagranjita,28,zamuro,07:00 PM
2021-02-04,lagranjita,20,cochino,09:00 AM
2021-02-04,lagranjita,37,ballena,10:00 AM
2021-02-04,lagranjita,17,pavo,11:00 AM
2021-02-04,lagranjita,7,perico,12:00 PM
2021-02-04,lagranjita,21,gallo,01:00 PM
2021-02-04,lagranjita,19,chivo,02:00 PM
2021-02-04,lagranjita,17,pavo,03:00 PM
2021-02-04,lagranjita,9,aguila,04:00 PM
2021-02-04,lagranjita,14,paloma,05:00 PM
2021-02-04,lagranjita,18,burro,06:00 PM
2021-02-04,lagranjita,26,vaca,07:00 PM
2021-02-05,lagranjita,12,caballo,09:00 AM
2021-02-05,lagranjita,37,ballena,10:00 AM
2021-02-05,lagranjita,33,pescado,11:00 AM
2021-02-05,lagranjita,17,pavo,12:00 PM
2021-02-05,lagranjita,33,pescado,01:00 PM
2021-02-05,lagranjita,30,caiman,02:00 PM
2021-02-05,lagranjita,24,iguana,03:00 PM
2021-02-05,lagranjita,15,zorro,04:00 PM
2021-02-05,lagranjita,13,mono,05:00 PM
2021-02-05,lagranjita,9,aguila,06:00 PM
2021-02-05,lagranjita,11,gato,07:00 PM
2021-02-06,lagranjita,26,vaca,09:00 AM
2021-02-06,lagranjita,10,tigre,10:00 AM
2021-02-06,lagranjita,35,jirafa,11:00 AM
2021-02-06,lagranjita,37,ballena,12:00 PM
2021-02-06,lagranjita,20,cochino,01:00 PM
2021-02-06,lagranjita,32,ardilla,02:00 PM
2021-02-06,lagranjita,25,gallina,03:00 PM
2021-02-06,lagranjita,33,pescado,04:00 PM
2021-02-06,lagranjita,8,raton,05:00 PM
2021-02-06,lagranjita,16,oso,06:00 PM
2021-02-06,lagranjita,0,delfin,07:00 PM
2021-02-07,lagranjita,16,oso,09:00 AM
2021-02-07,lagranjita,34,venado,10:00 AM
2021-02-07,lagranjita,13,mono,11:00 AM
2021-02-07,lagranjita,0,delfin,12:00 PM
2021-02-07,lagranjita,31,lapa,01:00 PM
2021-02-07,lagranjita,23,cebra,02:00 PM
2021-02-07,lagranjita,12,caballo,03:00 PM
2021-02-07,lagranjita,22,camello,04:00 PM
2021-02-07,lagranjita,6,rana,05:00 PM
2021-02-07,lagranjita,3,ciempies,06:00 PM
2021-02-07,lagranjita,8,raton,07:00 PM
2021-02-08,lagranjita,36,culebra,09:00 AM
2021-02-08,lagranjita,27,perro,10:00 AM
2021-02-08,lagranjita,30,caiman,11:00 AM
2021-02-08,lagranjita,28,zamuro,12:00 PM
2021-02-08,lagranjita,2,toro,01:00 PM
2021-02-08,lagranjita,16,oso,02:00 PM
2021-02-08,lagranjita,10,tigre,03:00 PM
2021-02-08,lagranjita,21,gallo,04:00 PM
2021-02-08,lagranjita,4,alacran,05:00 PM
2021-02-08,lagranjita,7,perico,06:00 PM
2021-02-08,lagranjita,0,delfin,07:00 PM
2021-02-09,lagranjita,30,caiman,09:00 AM
2021-02-09,lagranjita,9,aguila,10:00 AM
2021-02-09,lagranjita,23,cebra,11:00 AM
2021-02-09,lagranjita,21,gallo,12:00 PM
2021-02-09,lagranjita,9,aguila,01:00 PM
2021-02-09,lagranjita,17,pavo,02:00 PM
2021-02-09,lagranjita,13,mono,03:00 PM
2021-02-09,lagranjita,11,gato,04:00 PM
2021-02-09,lagranjita,2,toro,05:00 PM
2021-02-09,lagranjita,28,zamuro,06:00 PM
2021-02-09,lagranjita,6,rana,07:00 PM
2021-02-10,lagranjita,2,toro,09:00 AM
2021-02-10,lagranjita,4,alacran,10:00 AM
2021-02-10,lagranjita,23,cebra,11:00 AM
2021-02-10,lagranjita,8,raton,12:00 PM
2021-02-10,lagranjita,30,caiman,01:00 PM
2021-02-10,lagranjita,34,venado,02:00 PM
2021-02-10,lagranjita,29,elefante,03:00 PM
2021-02-10,lagranjita,33,pescado,04:00 PM
2021-02-10,lagranjita,5,leon,05:00 PM
2021-02-10,lagranjita,20,cochino,06:00 PM
2021-02-10,lagranjita,16,oso,07:00 PM
2021-02-11,lagranjita,14,paloma,09:00 AM
2021-02-11,lagranjita,19,chivo,10:00 AM
2021-02-11,lagranjita,15,zorro,11:00 AM
2021-02-11,lagranjita,8,raton,12:00 PM
2021-02-11,lagranjita,17,pavo,01:00 PM
2021-02-11,lagranjita,10,tigre,02:00 PM
2021-02-11,lagranjita,23,cebra,03:00 PM
2021-02-11,lagranjita,14,paloma,04:00 PM
2021-02-11,lagranjita,11,gato,05:00 PM
2021-02-11,lagranjita,0,delfin,06:00 PM
2021-02-11,lagranjita,24,iguana,07:00 PM
2021-02-12,lagranjita,17,pavo,09:00 AM
2021-02-12,lagranjita,10,tigre,10:00 AM
2021-02-12,lagranjita,29,elefante,11:00 AM
2021-02-12,lagranjita,13,mono,12:00 PM
2021-02-12,lagranjita,5,leon,01:00 PM
2021-02-12,lagranjita,9,aguila,02:00 PM
2021-02-12,lagranjita,21,gallo,03:00 PM
2021-02-12,lagranjita,6,rana,04:00 PM
2021-02-12,lagranjita,3,ciempies,05:00 PM
2021-02-12,lagranjita,22,camello,06:00 PM
2021-02-12,lagranjita,16,oso,07:00 PM
2021-02-13,lagranjita,21,gallo,09:00 AM
2021-02-13,lagranjita,14,paloma,10:00 AM
2021-02-13,lagranjita,24,iguana,11:00 AM
2021-02-13,lagranjita,35,jirafa,12:00 PM
2021-02-13,lagranjita,7,perico,01:00 PM
2021-02-13,lagranjita,23,cebra,02:00 PM
2021-02-13,lagranjita,27,perro,03:00 PM
2021-02-13,lagranjita,19,chivo,04:00 PM
2021-02-13,lagranjita,6,rana,05:00 PM
2021-02-13,lagranjita,16,oso,06:00 PM
2021-02-13,lagranjita,15,zorro,07:00 PM
2021-02-14,lagranjita,24,iguana,09:00 AM
2021-02-14,lagranjita,8,raton,10:00 AM
2021-02-14,lagranjita,16,oso,11:00 AM
2021-02-14,lagranjita,2,toro,12:00 PM
2021-02-14,lagranjita,20,cochino,01:00 PM
2021-02-14,lagranjita,33,pescado,02:00 PM
2021-02-14,lagranjita,28,zamuro,03:00 PM
2021-02-14,lagranjita,22,camello,04:00 PM
2021-02-14,lagranjita,34,venado,05:00 PM
2021-02-14,lagranjita,18,burro,06:00 PM
2021-02-14,lagranjita,35,jirafa,07:00 PM
2021-02-15,lagranjita,22,camello,09:00 AM
2021-02-15,lagranjita,23,cebra,10:00 AM
2021-02-15,lagranjita,19,chivo,11:00 AM
2021-02-15,lagranjita,8,raton,12:00 PM
2021-02-15,lagranjita,21,gallo,01:00 PM
2021-02-15,lagranjita,0,delfin,02:00 PM
2021-02-15,lagranjita,7,perico,03:00 PM
2021-02-15,lagranjita,30,caiman,04:00 PM
2021-02-15,lagranjita,19,chivo,05:00 PM
2021-02-15,lagranjita,29,elefante,06:00 PM
2021-02-15,lagranjita,6,rana,07:00 PM
2021-02-16,lagranjita,26,vaca,09:00 AM
2021-02-16,lagranjita,2,toro,10:00 AM
2021-02-16,lagranjita,27,perro,11:00 AM
2021-02-16,lagranjita,3,ciempies,12:00 PM
2021-02-16,lagranjita,30,caiman,01:00 PM
2021-02-16,lagranjita,20,cochino,02:00 PM
2021-02-16,lagranjita,23,cebra,03:00 PM
2021-02-16,lagranjita,25,gallina,04:00 PM
2021-02-16,lagranjita,4,alacran,05:00 PM
2021-02-16,lagranjita,14,paloma,06:00 PM
2021-02-16,lagranjita,12,caballo,07:00 PM
2021-02-17,lagranjita,5,leon,09:00 AM
2021-02-17,lagranjita,10,tigre,10:00 AM
2021-02-17,lagranjita,7,perico,11:00 AM
2021-02-17,lagranjita,9,aguila,12:00 PM
2021-02-17,lagranjita,35,jirafa,01:00 PM
2021-02-17,lagranjita,16,oso,02:00 PM
2021-02-17,lagranjita,13,mono,03:00 PM
2021-02-17,lagranjita,26,vaca,04:00 PM
2021-02-17,lagranjita,28,zamuro,05:00 PM
2021-02-17,lagranjita,11,gato,06:00 PM
2021-02-17,lagranjita,32,ardilla,07:00 PM
2021-02-18,lagranjita,32,ardilla,09:00 AM
2021-02-18,lagranjita,3,ciempies,10:00 AM
2021-02-18,lagranjita,19,chivo,11:00 AM
2021-02-18,lagranjita,14,paloma,12:00 PM
2021-02-18,lagranjita,22,camello,01:00 PM
2021-02-18,lagranjita,15,zorro,02:00 PM
2021-02-18,lagranjita,29,elefante,03:00 PM
2021-02-18,lagranjita,5,leon,04:00 PM
2021-02-18,lagranjita,17,pavo,05:00 PM
2021-02-18,lagranjita,4,alacran,06:00 PM
2021-02-18,lagranjita,4,alacran,07:00 PM
2021-02-19,lagranjita,0,delfin,09:00 AM
2021-02-19,lagranjita,6,rana,10:00 AM
2021-02-19,lagranjita,2,toro,11:00 AM
2021-02-19,lagranjita,5,leon,12:00 PM
2021-02-19,lagranjita,19,chivo,01:00 PM
2021-02-19,lagranjita,21,gallo,02:00 PM
2021-02-19,lagranjita,24,iguana,03:00 PM
2021-02-19,lagranjita,18,burro,04:00 PM
2021-02-19,lagranjita,8,raton,05:00 PM
2021-02-19,lagranjita,19,chivo,06:00 PM
2021-02-19,lagranjita,34,venado,07:00 PM
2021-02-20,lagranjita,29,elefante,09:00 AM
2021-02-20,lagranjita,2,toro,10:00 AM
